Place,P1
Taj Mahal,History and Culture
Ancient Fort,History and Culture
Colorful Temple,History and Culture
Spice-filled Street,Food and Snacks
Riverside Stairs,Religious
Ganges River,Religious
Jaisalmer Desert,Adventure
Darjeeling Tea Gardens,Scenic or Photography
Bodh Gaya,Religious
Rann of Kutch,Scenic or Photography
Khajuraho Temples,History and Culture
Ajanta and Ellora Caves,History and Culture
Golden Temple,Religious
Hampi Ruins,History and Culture
Mehrangarh Fort,History and Culture
Kerala Backwaters,Scenic or Photography
Agra Fort,History and Culture
Gateway of India,History and Culture
Hawa Mahal,History and Culture
Victoria Memorial,History and Culture
Jaipur City Palace,History and Culture
Lotus Temple,Religious
Qutub Minar,History and Culture
Mysuru Palace,History and Culture
Amber Fort,History and Culture
Ajmer Sharif Dargah,Religious
Rishikesh,Religious
Kolkata Howrah Bridge,History and Culture
Srinagar Dal Lake,Scenic or Photography
Charminar,History and Culture
Rameswaram,Religious
Munnar,Scenic or Photography
Jodhpur Umaid Bhawan Palace,History and Culture
Tirupati Balaji Temple,Religious
Puri Jagannath Temple,Religious
Shimla Mall Road,Scenic or Photography
Chennai Marina Beach,Scenic or Photography
Gulmarg,Scenic or Photography
Mumbai Marine Drive,Scenic or Photography
Bikaner Junagarh Fort,History and Culture
Varkala Beach,Scenic or Photography
Rajasthan Jantar Mantar,History and Culture
Hogenakkal Falls,Scenic or Photography
Chandigarh Rock Garden,History and Culture
Mount Abu,Scenic or Photography
Kanyakumari Vivekananda Rock Memorial,Scenic or Photography
Sanchi Stupa,History and Culture
Madurai Meenakshi Temple,Religious
Udaipur City Palace,History and Culture
Ladakh Pangong Lake,Scenic or Photography
Khimsar Fort,History and Culture
Kolkata Victoria Memorial,History and Culture
Kumbhalgarh Fort,History and Culture
Pune Shaniwar Wada,History and Culture
Hyderabad Birla Mandir,Religious
Matheran,Scenic or Photography
Guwahati Kamakhya Temple,Religious
Palakkad Silent Valley National Park,Scenic or Photography
Kodaikanal,Scenic or Photography
Dwarka Dwarkadhish Temple,Religious
Jhansi Fort,History and Culture
Gandikota Grand Canyon of India,Scenic or Photography
Belur Math,Religious
Mahabalipuram Shore Temple,History and Culture
Ooty,Scenic or Photography
Nashik Trimbakeshwar Temple,Religious
Ahmedabad Sabarmati Ashram,History and Culture
Rishikesh Laxman Jhula,Religious
Panchgani,Scenic or Photography
Digha,Scenic or Photography
Pushkar,Religious
Coorg Abbey Falls,Scenic or Photography
Ajanta Caves,History and Culture
Kochi Chinese Fishing Nets,Scenic or Photography
Ratnagiri,Scenic or Photography
Rajgir,Religious
Gokarna,Religious
Dhanushkodi,Scenic or Photography
Shillong Elephant Falls,Scenic or Photography
Hampi Virupaksha Temple,History and Culture
Agra Fatehpur Sikri,History and Culture
Vadodara Laxmi Vilas Palace,History and Culture
Gulbarga Khwaja Bande Nawaz Dargah,Religious
Port Blair Cellular Jail,History and Culture
Thar Desert,Scenic or Photography
Dehradun Robber's Cave,Scenic or Photography
Hyderabad Charminar,History and Culture
Badami Caves,History and Culture
Thanjavur Brihadeeswarar Temple,Religious
Vrindavan Banke Bihari Temple,Religious
Jodhpur Mehrangarh Fort,History and Culture
Madurai Meenakshi Amman Temple,Religious
Jabalpur Dhuandhar Falls,Scenic or Photography
Warangal Warangal Fort,History and Culture
Rajahmundry Pushkar Ghat,Religious
Kovalam Beach,Scenic or Photography
Agartala Ujjayanta Palace,History and Culture
Ooty Botanical Gardens,Scenic or Photography
Amritsar Golden Temple,Religious
Munnar Tea Gardens,Scenic or Photography
Aurangabad Ellora Caves,History and Culture
Trivandrum Napier Museum,History and Culture
Rameswaram Ramanathaswamy Temple,Religious
Aizawl Mizoram State Museum,History and Culture
Jaisalmer Patwon Ki Haveli,History and Culture
Nagpur Deekshabhoomi,History and Culture
Dharamshala McLeod Ganj,Scenic or Photography
Gangtok Nathula Pass,Scenic or Photography
Jaipur Hawa Mahal,History and Culture
Digha Beach,Scenic or Photography
Ranchi Tagore Hill,Scenic or Photography
Thiruvananthapuram Attukal Bhagavathy Temple,Religious
Vijayawada Bhavani Island,Scenic or Photography
Panaji Fontainhas Latin Quarter,History and Culture
Nagaland Kohima War Cemetery,History and Culture
Kanyakumari Thiruvalluvar Statue,Scenic or Photography
Lucknow Bara Imambara,History and Culture
Gulmarg Gulmarg Gondola,Adventure
Kolkata Dakshineswar Kali Temple,Religious
Tirupati Venkateswara Temple,Religious
Kochi St. Francis Church,History and Culture
Shillong Umiam Lake,Scenic or Photography
Ajmer Dargah Sharif,Religious
Jaisalmer Sam Sand Dunes,Adventure
Gaya Mahabodhi Temple,Religious
Munnar Attukal Waterfalls,Scenic or Photography
Kovalam Lighthouse Beach,Scenic or Photography
Shimla The Ridge,Scenic or Photography
Jabalpur Marble Rocks,Scenic or Photography
Aurangabad Bibi Ka Maqbara,History and Culture
Coimbatore Marudhamalai Murugan Temple,Religious
Kochi Mattancherry Palace,History and Culture
Rishikesh Triveni Ghat,Religious
Manali Rohtang Pass,Adventure
Khajuraho Western Group of Temples,History and Culture
Rajkot Jubilee Garden,Scenic or Photography
Jaipur Jal Mahal,Scenic or Photography
Varanasi Kashi Vishwanath Temple,Religious
Delhi India Gate,History and Culture
Ooty Ooty Lake,Scenic or Photography
Jaipur Amer Fort,History and Culture
Agra Agra Fort,History and Culture
Mumbai Gateway of India,History and Culture
Shirdi Shirdi Sai Baba Temple,Religious
Chandni Chowk Delhi,Food and Snacks
Mysore Pak Sweets Mysore,Food and Snacks
Varanasi Chaat Varanasi,Food and Snacks
Rajasthani Thali Rajasthan,Food and Snacks
Amritsari Kulcha Amritsar,Food and Snacks
Masala Dosa South India,Food and Snacks
Samosa Various Regions,Food and Snacks
Jalebi Multiple Regions,Food and Snacks
Vada Pav Mumbai,Food and Snacks
Pani Puri Various Regions,Food and Snacks
Chole Bhature Delhi,Food and Snacks
Idli-Sambhar South India,Food and Snacks
Aloo Paratha Amritsar,Food and Snacks
Dhokla Gujarat,Food and Snacks
Poha Madhya Pradesh,Food and Snacks
Kachori Rajasthan,Food and Snacks
Biryani Hyderabad,Food and Snacks
Kolkata Kathi Roll Kolkata,Food and Snacks
Paneer Tikka North India,Food and Snacks
Pakora Various Regions,Food and Snacks
Makki Ki Roti Sarson Ka Saag Punjab,Food and Snacks
Dabeli Gujarat,Food and Snacks
Khar Mumbai,Food and Snacks
Litti Chokha Bihar,Food and Snacks
Bhutte Ka Kees Indore,Food and Snacks
Rasgulla Kolkata,Food and Snacks
Misal Pav Pune,Food and Snacks
Kesar Peda Mathura,Food and Snacks
Kathiawadi Thali Gujarat,Food and Snacks
Malaiyo Varanasi,Food and Snacks
Khar Mohor Goa,Food and Snacks
Aloo Tikki Wala Delhi,Food and Snacks
Coorg Pandi Curry Karnataka,Food and Snacks
Kharode Ka Shorba Lucknow,Food and Snacks
Laksa Northeast India,Food and Snacks
Khar Indore,Food and Snacks
Dhansak Parsi Cuisine,Food and Snacks
Pesarattu Andhra Pradesh,Food and Snacks
Dhokar Dalna Kolkata,Food and Snacks
Dhabeli Vadodara,Food and Snacks
Petha Agra,Food and Snacks
Chole Kulche Old Delhi,Food and Snacks
Fafda Jalebi Gujarat,Food and Snacks
Kharodi Vada Mumbai,Food and Snacks
Sarson Da Saag Makki Di Roti Punjab,Food and Snacks
Jadoh Meghalaya,Food and Snacks
Puran Poli Maharashtra,Food and Snacks
Baati Chokha Uttar Pradesh,Food and Snacks
Sorpotel Goa,Food and Snacks
Chhena Poda Odisha,Food and Snacks
Lal Maans Rajasthan,Food and Snacks
Dhirdo Sikkim,Food and Snacks
Khar Sangyuk Arunachal Pradesh,Food and Snacks
Patra Gujarat,Food and Snacks
Dal Bati Churma Rajasthan,Food and Snacks
Bhapa Ilish West Bengal,Food and Snacks
Sandesh Kolkata,Food and Snacks
Khar West Assam,Food and Snacks
Bhut Jolokia Assam,Food and Snacks
Kalaadi Kerala,Food and Snacks
Rogan Josh Kashmir,Food and Snacks
Khar Punjab,Food and Snacks
Khar Khasi Hills,Food and Snacks
Khar Nagaland,Food and Snacks
Bebinca Goa,Food and Snacks
Sol Kadhi Konkan,Food and Snacks
